"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/6/2019","Sentry T of C","T8","1.695",".073","256.8","286.6","406","78.33","10' 9""","8.47","11.86","47","109.94","39"
"11/18/2018","The RSM Classic","3","2.185",".612","274.4","270.9","308","80.36","16' 2""","2.38","9.52","80","109.97","79"
"11/4/2018","Shriners Hospitals","T15",".891","-.315","297.9","288.9","348","62.50","22' 10""","16.07","10.71","109","109.01","48"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T4",".091","-.468","292.3","290.0","323","55.36","26' 3""","21.43","17.86","40","110.69","20"
"9/9/2018","BMW Championship","T6",".673","-.486","294.9","284.7","336","66.07","24' 5""","12.73","16.36","88","110.20","31"
"9/3/2018","Dell Technologies Champ","T49","-.230","-.225","291.5","284.4","344","69.64","16' 5""","8.93","7.14","80","109.71","43"
"8/26/2018","THE NORTHERN TRUST","T28","-.095",".114","278.1","278.8","327","66.07","29' 7""","12.50","12.50","88","111.65","92"
"8/19/2018","Wyndham Championship","T2","1.946",".837","311.8","291.1","350","67.86","20' 6""","21.43","8.93","52","113.25","65"
"8/12/2018","PGA Championship","T19","1.769","-.298","294.8","279.9","307","64.29","18' 7""","10.71","19.64","105","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T24",".069","-.646","304.8","295.2","352","48.21","19' 10""","26.79","19.64","98","111.40","83"
"7/22/2018","The Open Championship","T12","-","-","314.4","-","381","66.67","-","-","-","21","-","-"
"7/8/2018","The Greenbrier","T47","-.142","-1.175","306.4","289.5","352","62.50","27' 11""","21.82","10.91","99","111.64","48"
"6/24/2018","Travelers Championship","CUT","-1.503","-1.042","276.8","278.8","321","67.86","15' 11""","25.00",".00","1,998","109.40","1,998"
"6/17/2018","U.S. Open","T10","1.577","-.182","296.6","283.5","350","73.21","-","10.71","8.93","80","-","-"
"5/27/2018","Fort Worth Invitational","CUT",".460",".044","305.0","282.0","335","57.14","24' 6""","17.86","3.57","1,998","115.05","1,998"
"5/13/2018","THE PLAYERS Championship","1","1.433",".367","280.5","274.5","323","82.14","26' 4""","5.36","5.36","72","110.29","80"
