"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/6/2019","Sentry T of C","T8","-.521","31.5","1.768","1.653","33.33","1.39","29.75","32.00","30.00","30.00","27.00","100.00","75.00","100.00","66.67",".00",".00","25.00","33.33","70.59","84.42","31.25",".00","20.00",".00","22' 7""","1' 11""","61' 3""","30.36"
"11/18/2018","The RSM Classic","3",".978","45.4","1.712","1.597","40.28","2.78","28.75","29.00","29.00","28.00","29.00","100.00","100.00","100.00","100.00","100.00",".00","66.67","50.00","81.82","92.00","22.22","28.57","14.29","15.38","35' 4""","2' 4""","96' 4""","32.76"
"11/4/2018","Shriners Hospitals","T15",".583","57.9","1.608","1.556","44.44",".00","28.00","29.00","29.00","29.00","25.00","100.00","100.00","71.43","40.00","66.67","66.67","50.00","66.67","61.11","84.93","57.14","10.00","25.00",".00","22' 5""","2' 0""","83' 3""","43.14"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T4","1.026","14.0","1.681","1.514","47.22","1.39","27.25","29.00","27.00","27.00","26.00","97.44","100.00","85.71","75.00","100.00","100.00","75.00",".00","89.47","91.43","40.00","37.50",".00",".00","19' 11""","1' 11""","76' 4""","34.04"
"9/9/2018","BMW Championship","T6","1.460","48.9","1.679","1.569","41.67","1.39","28.25","27.00","29.00","29.00","28.00","100.00","88.89","100.00","100.00","100.00",".00","100.00","66.67","83.33","95.16","33.33","43.75","14.29",".00","24' 3""","2' 1""","87' 6""","35.71"
"9/3/2018","Dell Technologies Champ","T49",".077","86.8","1.809","1.597","37.50","2.78","28.75","27.00","26.00","31.00","31.00","100.00","100.00","50.00","50.00","100.00",".00","60.00","50.00","60.00","88.73","33.33",".00",".00","5.26","32' 9""","2' 2""","72' 0""","26.09"
"8/26/2018","THE NORTHERN TRUST","T28",".987","79.6","1.800","1.611","38.89","2.78","29.00","25.00","29.00","31.00","31.00","100.00","66.67","83.33","100.00","50.00","66.67","66.67","60.00","76.92","90.00","40.00","14.29","12.50","9.52","48' 8""","2' 3""","91' 5""","24.00"
"8/19/2018","Wyndham Championship","T2",".953","38.1","1.717","1.653","34.72",".00","29.75","28.00","34.00","28.00","29.00","100.00","90.00","80.00","100.00","100.00",".00","50.00","100.00","78.57","92.65","38.46","37.50","12.50",".00","20' 6""","2' 2""","77' 5""","33.33"
"8/12/2018","PGA Championship","T19","-.066","93.1","1.745","1.639","31.94","1.39","29.50","27.00","30.00","31.00","30.00","100.00","100.00","40.00","83.33","100.00","33.33","33.33","50.00","60.00","85.33","37.50","16.67","20.00","4.17","29' 4""","1' 11""","68' 4""","27.27"
"8/5/2018","WGC-Bridgestone Invit'l","T24",".587","34.4","1.667","1.458","48.61",".00","26.25","28.00","25.00","27.00","25.00","100.00","100.00","100.00","62.50","71.43","66.67",".00","-","70.83","87.67","27.27","40.00",".00","6.67","31' 4""","2' 3""","75' 9""","24.32"
"7/22/2018","The Open Championship","T12","-","-","1.920","1.681","33.33","1.39","30.25","28.00","30.00","28.00","35.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.00"
"7/8/2018","The Greenbrier","T47",".613","68.4","1.633","1.542","44.44","1.39","27.75","26.00","28.00","30.00","27.00","100.00","100.00","66.67","100.00",".00","80.00","75.00","50.00","64.29","90.00","50.00",".00",".00",".00","14' 10""","2' 3""","71' 5""","35.42"
"6/24/2018","Travelers Championship","CUT","-1.112","-","1.800","1.722","30.56","2.78","31.00","30.00","32.00","-","-","100.00","100.00","66.67","-","-",".00","100.00","50.00","50.00","91.89","20.00",".00","-",".00","12' 0""","2' 5""","54' 10""","24.00"
"6/17/2018","U.S. Open","T10","1.068","75.3","1.826","1.625","40.28","2.78","29.25","31.00","24.00","31.00","31.00","100.00","100.00","75.00","100.00","80.00","60.00","25.00","25.00","73.68","85.53","12.50","37.50","16.67","10.53","36' 1""","2' 11""","86' 8""","21.74"
