"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/6/2019","Sentry T of C","1","1.188","81.94","82.61","36.84","78.95","40' 0""","42' 6""","41' 5""","44' 9""","36' 8""","61' 8""","25' 4""","60' 0""","46' 3""","16' 0""","21' 9""","26' 6""","23' 11""","35' 10""","31' 1""","23' 3""","50' 0""","-","-","80' 7""","54' 2""","54' 4""","18' 10""","67' 5""","-","40' 8""","69' 6""","18' 10""","-","26' 3""","15' 2""","2","107"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","1","-","68.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","72.22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","25","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".216","69.44","50.00","25.00","75.00","30' 8""","39' 7""","30' 1""","49' 1""","26' 0""","-","-","44' 6""","37' 5""","12' 6""","3' 6""","11' 5""","10' 9""","14' 11""","23' 7""","32' 4""","39' 8""","-","-","46' 10""","75' 2""","39' 4""","40' 10""","65' 8""","-","35' 6""","40' 3""","33' 0""","28' 3""","57' 0""","8' 6""","-","-"
"9/9/2018","BMW Championship","T3","1.168","81.94","66.67","16.67","83.33","30' 9""","52' 10""","41' 7""","60' 11""","26' 2""","-","51' 5""","58' 5""","30' 4""","7' 6""","14' 10""","16' 10""","14' 8""","20' 3""","24' 11""","24' 1""","40' 8""","-","-","-","-","52' 10""","-","-","48' 11""","51' 4""","41' 4""","134' 6""","134' 6""","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T49",".266","65.28","62.50","20.00","40.00","36' 10""","33' 0""","43' 11""","30' 3""","34' 11""","-","81' 10""","77' 6""","29' 2""","-","13' 6""","16' 6""","15' 10""","27' 4""","45' 6""","33' 0""","46' 9""","-","-","-","41' 10""","33' 0""","-","41' 10""","40' 2""","30' 6""","30' 10""","22' 7""","22' 7""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","CUT",".462","66.67","62.50",".00","20.00","35' 8""","54' 4""","42' 10""","65' 10""","31' 2""","102' 3""","84' 5""","54' 6""","20' 6""","10' 7""","8' 6""","20' 5""","12' 0""","25' 6""","15' 5""","21' 7""","54' 10""","-","56' 10""","-","88' 0""","58' 7""","33' 0""","72' 5""","54' 0""","52' 8""","41' 7""","33' 0""","-","-","33' 0""","-","-"
"8/12/2018","PGA Championship","T35",".602","69.44","70.00","14.29","57.14","38' 4""","56' 6""","90' 10""","53' 8""","31' 6""","75' 2""","-","35' 10""","43' 1""","-","26' 9""","15' 11""","17' 9""","24' 4""","25' 1""","28' 2""","49' 8""","-","-","135' 4""","41' 7""","56' 6""","-","72' 10""","66' 5""","47' 0""","50' 8""","-","-","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","68","-1.336","56.94","62.50",".00","20.00","36' 8""","45' 11""","49' 4""","44' 2""","28' 7""","30' 4""","-","47' 7""","47' 3""","-","-","23' 1""","23' 1""","19' 8""","26' 11""","24' 6""","45' 11""","-","38' 7""","-","-","48' 10""","13' 7""","38' 7""","62' 9""","59' 10""","39' 1""","29' 8""","34' 3""","-","13' 7""","-","-"
"7/22/2018","The Open Championship","T2","-","59.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T21",".753","72.22","87.50","28.57","57.14","28' 8""","28' 7""","32' 0""","26' 11""","27' 11""","87' 1""","26' 4""","52' 4""","24' 6""","-","8' 9""","15' 3""","14' 2""","24' 8""","31' 11""","24' 1""","41' 3""","-","-","-","-","31' 5""","10' 1""","-","-","53' 9""","30' 9""","19' 7""","25' 11""","8' 1""","12' 1""","1","7"
"6/25/2018","(*) CVS Health Charity","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT","1.209","72.22","83.33","40.00","40.00","39' 5""","63' 8""","47' 9""","66' 3""","30' 7""","95' 11""","79' 8""","28' 0""","23' 3""","-","-","23' 9""","23' 9""","19' 4""","27' 11""","33' 8""","43' 8""","-","-","-","26' 0""","63' 8""","-","26' 0""","46' 4""","47' 9""","93' 0""","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T6",".286","61.11","55.56",".00","40.00","45' 5""","84' 6""","69' 4""","109' 8""","40' 5""","55' 8""","51' 6""","94' 0""","69' 0""","-","22' 10""","25' 7""","25' 3""","23' 6""","31' 11""","53' 6""","70' 6""","-","-","-","-","90' 11""","65' 4""","-","65' 11""","96' 1""","110' 8""","65' 4""","-","65' 4""","-","-","-"
"6/3/2018","the Memorial Tournament","CUT","-.968","55.56","62.50","60.00","80.00","34' 2""","40' 3""","49' 8""","2' 8""","33' 1""","-","35' 5""","95' 10""","43' 9""","-","-","56' 9""","56' 9""","22' 1""","18' 10""","26' 10""","73' 4""","-","58' 5""","-","-","40' 3""","-","58' 5""","55' 2""","10' 9""","-","66' 3""","66' 3""","-","-","1","7"
"5/27/2018","Fort Worth Invitational","CUT","-2.479","52.78","50.00","50.00","100.00","37' 5""","59' 10""","65' 2""","58' 4""","28' 5""","-","47' 9""","88' 0""","37' 8""","8' 4""","-","13' 11""","12' 7""","28' 8""","24' 4""","20' 11""","49' 9""","-","65' 6""","-","-","67' 9""","32' 0""","65' 6""","109' 3""","77' 10""","40' 4""","42' 6""","63' 5""","34' 1""","29' 11""","1","13"
"5/13/2018","THE PLAYERS Championship","T2","1.373","72.22","70.00","28.57","85.71","36' 2""","60' 0""","-","60' 0""","31' 6""","-","43' 11""","48' 11""","45' 4""","3' 8""","8""","24' 5""","19' 11""","25' 8""","21' 2""","38' 0""","45' 7""","-","130' 3""","-","26' 11""","60' 0""","-","78' 7""","38' 7""","82' 6""","50' 5""","-","-","-","-","1","11"
"5/6/2018","Wells Fargo Championship","T72","-.077","51.39","85.00","5.88","52.94","48' 2""","44' 3""","30' 4""","55' 11""","42' 1""","65' 3""","49' 7""","82' 8""","42' 2""","26' 4""","-","27' 2""","26' 10""","28' 11""","39' 2""","36' 10""","55' 0""","-","-","-","58' 3""","44' 3""","-","58' 3""","48' 11""","39' 1""","-","38' 9""","38' 9""","-","-","-","-"
"4/29/2018","Zurich Classic of New Orl","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
