"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/6/2019","Sentry T of C","1",".430","-","-","69.23","66.67","50.00",".00","66.67","80.00","100.00"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","1","-","60.00","-","78.26","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","61.11","-","45.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","25","-","100.00","-","59.09","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".218","60.00","8' 0""","59.09","100.00","54.55","40.00","33.33","62.50","83.33"
"9/9/2018","BMW Championship","T3","-.076","100.00","10' 3""","69.23","100.00","75.00","100.00",".00","50.00","100.00"
"9/3/2018","Dell Technologies Champ","T49","-.281","37.50","17' 8""","64.00","100.00","64.29",".00","33.33","70.00","100.00"
"8/26/2018","THE NORTHERN TRUST","CUT","-.961","25.00","11' 9""","58.33","100.00","50.00","-","50.00","66.67","50.00"
"8/12/2018","PGA Championship","T35",".232","36.36","10' 5""","50.00","-","60.00","25.00","50.00","50.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","68",".141","62.50","8' 6""","51.61","100.00","46.15","9.09","50.00","75.00","100.00"
"7/22/2018","The Open Championship","T2","-","70.00","-","68.97","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T21","-.763","50.00","5' 11""","45.00","100.00","28.57",".00","33.33","41.67","75.00"
"6/25/2018","(*) CVS Health Charity","T2","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT","-.250",".00","8' 1""","40.00","-","25.00","33.33","50.00","40.00","-"
"6/17/2018","U.S. Open","T6",".533","25.00","12' 6""","39.29",".00",".00","30.77","42.86","50.00","-"
"6/3/2018","the Memorial Tournament","CUT","-.428","25.00","6' 5""","50.00","100.00","66.67","66.67",".00","62.50","50.00"
"5/27/2018","Fort Worth Invitational","CUT",".072","42.86","10' 8""","41.18","66.67","42.86","20.00","33.33","75.00","66.67"
"5/13/2018","THE PLAYERS Championship","T2","1.614","83.33","5' 10""","75.00","-","66.67","66.67","66.67","75.00","83.33"
"5/6/2018","Wells Fargo Championship","T72",".671","52.94","6' 9""","54.29","100.00","60.00","14.29","28.57","76.47","75.00"
"4/29/2018","Zurich Classic of New Orl","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T73","-.986","53.85","12' 0""","61.90","100.00","55.56","33.33","50.00","63.64","80.00"
"4/15/2018","RBC Heritage","T32","-.687","55.56","6' 3""","60.00","100.00","20.00","50.00","66.67","46.15","100.00"
"4/8/2018","Masters Tournament","T50","-","42.86","-","63.33","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
