"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/6/2019","Sentry T of C","1","2.333",".716","280.4","297.7","405","78.33","19' 11""","10.17","5.08","29","119.33","44"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","1","-","-","-","-","335","44.64","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","-","-","-","-","78.57","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","25","-","-","-","-","-","69.64","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".368","-.066","307.3","302.3","341","44.64","25' 3""","20.00","20.00","33","120.58","49"
"9/9/2018","BMW Championship","T3","1.049","-.043","302.8","290.7","338","69.64","26' 5""","10.71","12.50","48","116.88","60"
"9/3/2018","Dell Technologies Champ","T49","-.323","-.308","305.9","295.1","341","60.71","27' 7""","5.36","12.50","76","117.10","71"
"8/26/2018","THE NORTHERN TRUST","CUT","-.157",".343","270.3","282.3","303","71.43","30' 2""","10.71","10.71","1,998","118.96","1,998"
"8/12/2018","PGA Championship","T35",".929",".095","301.4","290.4","338","60.71","28' 2""","5.36","25.00","103","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","68","-1.887","-.693","315.1","304.7","392","42.86","31' 10""","13.21","28.30","97","116.92","96"
"7/22/2018","The Open Championship","T2","-","-","327.0","-","380","63.33","-","-","-","15","-","-"
"7/8/2018","The Greenbrier","T21",".926",".936","327.9","299.8","357","69.64","21' 10""","7.14","21.43","35","118.89","6"
"6/25/2018","(*) CVS Health Charity","T2","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT",".879","-.081","313.8","274.1","338","67.86","22' 5""","7.14","21.43","1,998","119.13","1,998"
"6/17/2018","U.S. Open","T6","1.500",".681","309.0","294.1","358","75.00","-","10.71","8.93","39","-","-"
"6/3/2018","the Memorial Tournament","CUT","-1.987","-.590","296.0","282.5","325","60.71","40' 7""","10.71","10.71","1,998","115.32","1,998"
"5/27/2018","Fort Worth Invitational","CUT","-3.048","-.640","303.8","282.7","335","50.00","30' 9""","7.14","21.43","1,998","115.95","1,998"
"5/13/2018","THE PLAYERS Championship","T2","3.082",".095","292.4","281.1","337","66.07","31' 3""",".00","16.07","64","116.06","55"
"5/6/2018","Wells Fargo Championship","T72",".030","-.564","325.4","308.9","345","51.79","18' 6""","11.11","9.26","53","120.32","101"
"4/29/2018","Zurich Classic of New Orl","-","-","-","-","-","-","-","-","-","-","-","-","-"
