"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/6/2019","Sentry T of C","1","1.341","15.0","1.661","1.597","36.11","1.39","28.75","32.00","28.00","30.00","25.00","100.00","100.00","100.00","60.00","100.00","100.00",".00","33.33","86.67","90.00","41.67","20.00",".00","4.17","30' 3""","2' 9""","74' 8""","42.11"
"12/2/2018","(*) Hero World Challenge","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","1","-","-","1.612","1.444","51.39","1.39","26.00","23.00","27.00","25.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40.82"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T48","-","-","1.712","1.667","40.28","5.56","30.00","31.00","29.00","33.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.62"
"10/14/2018","CIMB Classic","25","-","-","1.720","1.597","37.50",".00","28.75","30.00","30.00","26.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42.00"
"9/23/2018","TOUR Championship","T7",".499","25.6","1.740","1.583","41.67","2.78","28.50","27.00","28.00","29.00","30.00","100.00","100.00","100.00","100.00","60.00","50.00","75.00","33.33","81.25","91.55","50.00","10.00",".00",".00","16' 8""","2' 5""","70' 9""","32.00"
"9/9/2018","BMW Championship","T3","1.585","28.4","1.627","1.569","43.06",".00","28.25","25.00","29.00","30.00","29.00","100.00","100.00","100.00","100.00","40.00","100.00","100.00","33.33","82.35","90.14","33.33","33.33","33.33","8.33","41' 9""","2' 7""","97' 7""","38.98"
"9/3/2018","Dell Technologies Champ","T49",".169","72.5","1.745","1.611","41.67","2.78","29.00","25.00","29.00","32.00","30.00","100.00","100.00","100.00","66.67","66.67","37.50","50.00","-","63.64","86.67","27.27","28.57","33.33","5.00","27' 9""","2' 9""","78' 1""","31.91"
"8/26/2018","THE NORTHERN TRUST","CUT","-.782","-","1.792","1.667","33.33",".00","30.00","30.00","30.00","-","-","100.00","100.00","100.00","50.00","50.00","80.00",".00","100.00","66.67","85.00","10.00",".00","25.00",".00","20' 5""","2' 2""","72' 0""","20.83"
"8/12/2018","PGA Championship","T35",".023","99.2","1.720","1.639","38.89","2.78","29.50","32.00","28.00","29.00","29.00","100.00","100.00","80.00","40.00","-","50.00","50.00","50.00","56.25","87.67","40.00",".00","25.00","4.00","34' 4""","2' 8""","73' 8""","34.00"
"8/5/2018","WGC-Bridgestone Invit'l","68","-1.208","111.9","1.854","1.694","36.11","5.56","30.50","26.00","32.00","28.00","36.00","100.00","100.00","66.67","71.43","25.00","25.00","50.00",".00","52.38","82.93","20.00","14.29",".00","5.56","43' 2""","2' 3""","66' 7""","19.51"
"7/22/2018","The Open Championship","T2","-","-","1.744","1.528","41.67",".00","27.50","30.00","24.00","27.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.23"
"7/8/2018","The Greenbrier","T21",".546","69.0","1.673","1.611","37.50","1.39","29.00","28.00","28.00","28.00","32.00","100.00","90.00","100.00","60.00","100.00","50.00","83.33",".00","71.43","90.14","18.18","20.00","22.22","6.67","28' 0""","2' 0""","78' 9""","35.29"
"6/25/2018","(*) CVS Health Charity","T2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT","-.994","-","1.846","1.778","25.00","2.78","32.00","32.00","32.00","-","-","100.00","100.00","33.33","-","-","-","66.67",".00","33.33","89.47","25.00",".00","11.11",".00","21' 5""","2' 3""","58' 10""","26.92"
"6/17/2018","U.S. Open","T6","1.394","40.8","1.750","1.667","34.72","1.39","30.00","30.00","31.00","29.00","30.00","100.00","100.00","66.67","100.00","66.67","33.33","50.00",".00","72.22","88.57","33.33","44.44",".00","6.25","25' 7""","3' 2""","87' 6""","27.27"
"6/3/2018","the Memorial Tournament","CUT",".495","-","1.700","1.528","44.44","2.78","27.50","30.00","25.00","-","-","100.00","100.00","100.00","33.33","66.67","50.00","-","50.00","63.64","84.21","50.00","33.33",".00","14.29","34' 0""","2' 11""","87' 1""","45.00"
